,av_depth,max_depth,min_depth,num_acl,num_advcl,num_sent,num_tok,av_tok_before_root,av_len_sent,num_cl,num_tu,num_compl_tu,num_coord,num_adj_noun,num_part_noun,num_noun_inf,pos_sim_nei,lemma_sim_nei,pos_sim_all,lemma_sim_all,name,errors,type
1,4.875,7,4,2,6,8,257,8.75,32.125,19,13,6,3,6,0,3,24.85714285714285,31.85714285714285,23.96768707482993,31.24829931972789,Exam2014_DAr_42_1.txt,3,1
2,3.692307692307693,6,2,0,2,13,222,4.538461538461538,17.076923076923073,17,15,2,4,13,0,0,13.75,17.0,14.53026996151996,17.4118746993747,Exam2017_DPe_8_1.txt,5,1
4,4.266666666666667,9,2,2,1,15,284,5.866666666666666,18.933333333333334,21,19,2,8,14,0,2,18.428571428571427,22.642857142857142,19.026439830011263,23.222616272616268,Exam2016_ZEv_41_1.txt,3,1
5,4.363636363636363,7,2,3,9,11,283,5.909090909090909,25.72727272727273,23,13,10,4,16,1,0,24.3,30.0,23.6111507936508,28.3509126984127,Exam2019_ABu_165_1.txt,3,1
7,4.375,7,2,0,1,8,177,3.875,22.125,13,12,1,6,12,0,0,22.285714285714285,28.285714285714285,21.75952380952381,27.525510204081638,Exam2014_AMe_14_1.txt,5,1
8,4.230769230769232,7,3,2,0,13,225,6.384615384615384,17.307692307692307,22,18,4,6,12,2,0,14.333333333333336,17.583333333333332,13.70267857142857,17.3895683020683,Exam2019_ABu_196_1.txt,1,1
9,5.090909090909091,9,3,1,2,11,193,6.636363636363638,17.545454545454547,16,12,4,4,9,2,0,12.8,17.5,11.977579365079364,16.557023809523812,Exam2017_OBy_50_1.txt,1,1
10,4.625,6,3,0,2,8,165,8.0,20.625,13,9,4,4,13,0,0,17.142857142857142,21.85714285714285,16.203401360544213,21.10748299319728,Exam2017_ESa_29_1.txt,1,1
12,3.8235294117647056,6,2,9,7,17,289,5.0588235294117645,17.0,18,15,3,2,21,7,1,13.1875,18.6875,13.612196310633813,18.468520541958046,Exam2016_EKu_34_1.txt,2,1
15,3.6,7,1,0,2,10,192,5.3,19.2,13,11,2,5,12,0,0,17.333333333333332,21.88888888888889,17.785493827160497,22.09955908289241,Exam2014_ADe_2_1.txt,1,1
17,3.083333333333333,4,2,0,0,12,179,3.25,14.916666666666664,21,20,1,7,8,0,3,11.181818181818182,15.0,10.958028335301064,14.932415059687786,Exam2016_JSl_7_1.txt,2,1
18,4.4,8,3,3,3,10,253,11.0,25.3,20,14,6,2,7,3,1,20.88888888888889,26.88888888888889,22.2689594356261,28.451675485008817,Exam2017_VSa_94_1.txt,5,1
19,5.142857142857143,8,3,0,5,7,160,4.714285714285714,22.85714285714285,13,8,5,3,7,0,0,20.0,25.0,18.427777777777774,23.444444444444446,Exam2014_DZu_25_1.txt,1,1
21,5.166666666666667,6,3,1,0,6,191,11.166666666666664,31.83333333333333,12,11,1,4,12,1,1,27.0,33.6,27.836666666666662,34.56,Exam2016_JSl_22_1.txt,8,1
24,4.214285714285714,7,2,5,2,14,311,6.7142857142857135,22.214285714285715,28,25,3,7,19,5,0,21.46153846153846,26.538461538461537,20.039903899519285,25.12979840672148,Exam2014_EEm_5_1.txt,1,1
26,4.846153846153847,9,3,3,3,13,207,3.2307692307692317,15.923076923076923,17,16,1,9,9,3,0,12.833333333333336,16.083333333333332,12.283306277056274,15.775234487734489,Exam2017_EGe_192_1.txt,3,1
27,4.181818181818182,9,3,1,0,11,203,6.2727272727272725,18.454545454545453,15,15,0,6,7,1,0,16.0,19.9,15.669841269841273,19.00646825396825,Exam2017_DPe_71_1.txt,1,1
31,4.5555555555555545,11,3,4,2,9,204,5.0,22.66666666666667,13,11,2,3,10,4,0,16.625,22.375,16.795238095238098,22.73169642857143,Exam2014_AAl_18_1.txt,4,1
34,5.625,10,2,3,1,8,221,6.0,27.625,10,9,1,5,15,0,1,20.0,26.85714285714285,23.446598639455782,31.39659863945578,Exam2016_ZEv_40_1.txt,5,1
36,5.5,10,2,9,4,12,263,5.166666666666667,21.91666666666667,18,10,8,5,13,6,1,19.454545454545453,25.45454545454545,18.360199396563036,23.02345533254624,Exam2019_ABu_242_1.txt,1,1
37,6.0,7,4,4,4,7,208,6.428571428571429,29.714285714285715,13,9,4,4,13,0,0,20.33333333333333,25.5,22.01388888888889,27.70555555555556,Exam2014_ADe_11_1.txt,7,1
39,5.666666666666668,8,4,3,4,6,198,6.833333333333332,33.0,14,7,7,5,7,2,2,26.6,33.8,24.98333333333333,32.486666666666665,Exam2016_MTsy_34_1.txt,2,1
40,4.777777777777779,8,3,2,4,9,237,8.0,26.33333333333333,14,10,4,2,10,1,1,19.25,25.625,22.107589285714287,28.48125,Exam2014_ESha_67_1.txt,1,1
43,3.4444444444444446,6,2,0,0,9,190,5.4444444444444455,21.11111111111111,13,13,0,2,6,0,0,18.625,21.625,18.810416666666665,22.330505952380957,Exam2017_DPe_16_1.txt,1,1
48,3.333333333333333,6,1,0,2,15,222,6.933333333333334,14.8,23,16,7,1,7,0,0,12.928571428571429,15.642857142857142,12.905291732077446,15.12304798376227,Exam2014_EPa_70_1.txt,5,1
50,5.7,9,3,8,7,10,267,5.3,26.7,15,7,8,10,13,4,1,20.444444444444443,25.66666666666667,23.34620811287478,29.744444444444447,Exam2016_EKu_77_1.txt,3,1
52,4.3,9,2,1,1,10,200,5.7,20.0,16,14,2,9,7,1,0,18.444444444444443,22.777777777777786,19.069312169312173,23.07927689594356,Exam2017_MPa_12_1.txt,5,1
59,4.4444444444444455,8,2,2,2,9,195,4.888888888888889,21.66666666666667,17,14,3,1,8,1,1,20.625,25.5,19.90580357142857,24.151488095238093,Exam2014_EPa_74_1.txt,2,1
61,4.5,6,2,1,2,8,187,6.125,23.375,11,10,1,3,10,0,2,21.571428571428577,27.0,21.38503401360544,27.025850340136056,Exam2014_MTsy_14_1.txt,1,1
62,4.2727272727272725,7,2,5,1,11,244,13.454545454545457,22.181818181818183,14,13,1,5,12,3,0,18.6,23.7,20.273650793650795,25.62591269841269,Exam2019_ABu_230_1.txt,2,1
66,4.857142857142857,6,4,4,2,7,172,6.571428571428571,24.57142857142857,13,12,1,4,6,4,0,21.83333333333333,27.33333333333333,20.316666666666663,26.413888888888888,Exam2014_KKo_1_1.txt,1,1
68,4.5555555555555545,6,3,4,0,9,221,5.888888888888888,24.55555555555556,11,10,1,5,13,5,0,19.875,25.125,20.81086309523809,26.000297619047625,Exam2017_OBy_121_1.txt,3,1
69,4.125,5,2,1,3,8,203,6.125,25.375,14,10,4,5,13,0,0,23.142857142857142,27.714285714285715,21.145238095238096,25.781632653061227,Exam2019_ABu_144_1.txt,1,1
70,4.181818181818182,10,0,2,1,11,197,4.545454545454546,17.90909090909091,13,11,2,2,18,1,2,14.0,17.8,16.776825396825398,21.479007936507937,Exam2014_MGr_21_1.txt,5,1
72,3.0,5,2,2,2,11,159,3.9090909090909087,14.454545454545457,12,10,2,8,7,1,1,10.6,13.5,12.397857142857143,14.810158730158731,Exam2017_OBy_86_1.txt,1,1
73,4.8,8,3,1,2,10,204,6.1,20.4,19,10,9,2,15,2,1,14.22222222222222,19.444444444444443,16.778968253968255,22.139417989417986,Exam2014_VPe_28_1.txt,2,1
74,4.818181818181818,8,3,0,5,11,247,5.454545454545454,22.454545454545453,22,15,7,6,15,0,1,20.7,25.0,18.53035714285714,22.66075396825397,Exam2017_EGe_108_1.txt,6,1
75,4.230769230769232,8,1,8,0,13,227,6.615384615384616,17.46153846153846,16,15,1,10,14,7,0,15.5,19.33333333333333,15.565091390091393,19.31973304473305,Exam2017_ESa_15_1.txt,1,1
76,3.9090909090909087,6,3,1,1,11,204,4.454545454545454,18.545454545454547,9,8,1,6,13,0,0,14.4,18.3,13.55797619047619,18.288611111111116,Exam2014_EEm_16_1.txt,1,1
78,3.4,6,2,0,1,15,238,7.8,15.866666666666667,16,15,1,8,7,0,1,15.214285714285715,18.571428571428573,14.732127396413109,17.790654979940697,Exam2014_DAr_8_1.txt,2,1
79,4.625,6,2,8,4,8,191,5.375,23.875,11,9,2,0,8,7,0,18.714285714285715,24.85714285714285,19.552380952380947,26.14251700680272,Exam2016_JSl_131_1.txt,1,1
