,av_depth,max_depth,min_depth,num_acl,num_advcl,num_sent,num_tok,av_tok_before_root,av_len_sent,num_cl,num_tu,num_compl_tu,num_coord,num_adj_noun,num_part_noun,num_noun_inf,pos_sim_nei,lemma_sim_nei,pos_sim_all,lemma_sim_all,name,errors,type
0,4.235294117647058,6,3,5,5,17,273,3.4117647058823533,16.058823529411768,25,19,6,5,14,0,6,10.0,15.75,12.02795026154401,17.570003954378954,Exam2017_EGe_9_2.txt,4,2
3,5.25,7,3,1,7,8,164,3.25,20.5,16,9,7,6,6,0,1,17.142857142857142,22.0,16.310544217687074,20.733673469387764,Exam2019_EEr_133_2.txt,4,2
6,3.5,9,1,4,7,32,468,3.84375,14.625,47,37,10,12,42,2,2,13.709677419354836,17.483870967741936,14.37646876725618,18.159880225880965,Exam2019_ABu_104_2.txt,3,2
11,4.333333333333333,9,3,4,4,18,331,6.333333333333332,18.38888888888889,39,31,8,6,14,1,2,15.647058823529411,19.764705882352946,15.361560964026364,19.610796782033805,Exam2016_OR_1_2.txt,1,2
13,4.5625,11,0,4,4,16,338,5.625,21.125,33,27,6,14,22,2,2,18.0,22.73333333333333,17.58060495060495,22.75647815147815,Exam2017_EGe_210_2.txt,2,2
14,4.6,9,0,3,5,15,353,6.4,23.53333333333333,41,33,8,11,16,3,1,20.285714285714285,26.5,20.580905602334173,26.7891217909075,Exam2017_EGe_216_2.txt,1,2
16,4.235294117647058,7,3,7,8,17,343,5.0588235294117645,20.176470588235293,35,26,9,7,37,4,4,18.0625,23.6875,16.291191360722607,21.46094252969253,Exam2017_NMya_31_2.txt,3,2
20,5.384615384615384,10,0,4,8,13,282,5.307692307692308,21.69230769230769,28,15,13,13,17,1,3,20.166666666666668,25.16666666666667,18.151052188552192,23.456553631553632,Exam2017_DPe_10_2.txt,4,2
22,4.0,7,0,3,9,16,298,5.25,18.625,28,17,11,6,13,1,3,16.0,21.133333333333333,17.743274503274503,23.340046435046435,Exam2014_ASt_16_2.txt,1,2
23,4.521739130434782,7,1,10,9,23,451,4.695652173913044,19.608695652173918,46,32,14,4,28,7,2,15.272727272727272,20.954545454545453,14.777585867942609,20.428853462538022,Exam2016_ZEv_22_2.txt,1,2
25,4.941176470588236,9,3,3,11,17,301,3.4117647058823533,17.705882352941178,35,18,17,4,19,0,2,14.1875,18.5625,13.745952224858474,18.238741553585307,Exam2014_EPa_72_2.txt,2,2
28,3.8571428571428568,7,0,6,6,14,259,6.285714285714287,18.5,33,21,12,3,16,2,1,14.0,19.07692307692308,14.319991973838126,19.345695970695967,Exam2016_EKu_132_2.txt,2,2
29,4.846153846153847,10,2,2,13,13,300,4.0,23.07692307692308,39,16,23,7,13,3,1,19.416666666666668,26.08333333333333,19.607224025974027,25.18583152958153,Exam2014_MGr_12_2.txt,1,2
30,4.375,11,2,5,6,16,284,5.3125,17.75,27,17,10,3,21,2,4,14.4,19.133333333333333,16.246813371813367,21.74932807932808,Exam2016_MTsy_51_2.txt,4,2
32,3.3125,7,0,1,5,16,277,4.9375,17.3125,30,23,7,6,11,0,1,15.6,19.53333333333333,17.811200466200468,21.721112776112776,Exam2014_VPe_38_2.txt,1,2
